k1,k2,S(MAC^7 k1 k2),R1,R2
1.0,1.0,1.0,0.0,0.0
1.0,2.0,1.0,0.0,0.14285714285714285
1.0,3.0,1.0,0.0,0.2264232143887366
1.0,4.0,1.0,0.0,0.2857142857142857
1.0,5.0,1.0,0.0,0.33170401355533746
1.0,6.0,1.0,0.0,0.3692803572458794
1.0,7.0,1.0,0.0,0.4010507031510863
1.0,8.0,1.0,0.0,0.42857142857142855
1.0,9.0,1.0,0.0,0.4528464287774732
1.0,10.0,1.0,0.0,0.4745611564124804
1.0,11.0,1.0,0.0,0.4942045169481854
1.0,12.0,1.0,0.0,0.5121375001030224
1.0,13.0,1.0,0.0,0.5286342454487275
1.0,14.0,1.0,0.0,0.5439078460082291
1.0,15.0,1.0,0.0,0.5581272279440741
1.0,16.0,1.0,0.0,0.5714285714285714
1.0,17.0,1.0,0.0,0.5839232630357628
1.0,18.0,1.0,0.0,0.5957035716346161
1.0,19.0,1.0,0.0,0.6068467876347979
1.0,20.0,1.0,0.0,0.6174182992696232
1.0,21.0,1.0,0.0,0.627473917539823
1.0,22.0,1.0,0.0,0.6370616598053281
1.0,23.0,1.0,0.0,0.6462231365795733
1.0,24.0,1.0,0.0,0.6549946429601653
1.0,25.0,1.0,0.0,0.6634080271106749
1.0,26.0,1.0,0.0,0.6714913883058704
1.0,27.0,1.0,0.0,0.6792696431662099
1.0,28.0,1.0,0.0,0.6867649888653721
1.0,29.0,1.0,0.0,0.6939972850182247
1.0,30.0,1.0,0.0,0.7009843708012171
1.0,31.0,1.0,0.0,0.707742330055268
1.0,32.0,1.0,0.0,0.7142857142857143
1.0,33.0,1.0,0.0,0.7206277313369219
1.0,34.0,1.0,0.0,0.7267804058929057
1.0,35.0,1.0,0.0,0.7327547167064238
1.0,36.0,1.0,0.0,0.7385607144917589
1.0,37.0,1.0,0.0,0.7442076236612786
1.0,38.0,1.0,0.0,0.7497039304919407
1.0,39.0,1.0,0.0,0.7550574598374641
1.0,40.0,1.0,0.0,0.7602754421267661
1.0,41.0,1.0,0.0,0.7653645720882977
1.0,42.0,1.0,0.0,0.7703310603969659
1.0,43.0,1.0,0.0,0.7751806792431568
1.0,44.0,1.0,0.0,0.7799188026624709
1.0,45.0,1.0,0.0,0.7845504423328107
1.0,46.0,1.0,0.0,0.7890802794367161
1.0,47.0,1.0,0.0,0.7935126930968054
1.0,48.0,1.0,0.0,0.7978517858173081
1.0,49.0,1.0,0.0,0.8021014063021726
1.0,50.0,1.0,0.0,0.8062651699678177
1.0,51.0,1.0,0.0,0.8103464774244994
1.0,52.0,1.0,0.0,0.8143485311630132
1.0,53.0,1.0,0.0,0.8182743506518857
1.0,54.0,1.0,0.0,0.8221267860233528
1.0,55.0,1.0,0.0,0.8259085305035229
1.0,56.0,1.0,0.0,0.8296221317225151
1.0,57.0,1.0,0.0,0.8332700020235346
1.0,58.0,1.0,0.0,0.8368544278753675
1.0,59.0,1.0,0.0,0.8403775784802631
1.0,60.0,1.0,0.0,0.8438415136583598
1.0,61.0,1.0,0.0,0.8472481910804124
1.0,62.0,1.0,0.0,0.8505994729124108
1.0,63.0,1.0,0.0,0.8538971319285595
1.0,64.0,1.0,0.0,0.8571428571428571
1.0,65.0,1.0,0.0,0.8603382590040649
1.0,66.0,1.0,0.0,0.8634848741940647
1.0,67.0,1.0,0.0,0.866584170065396
1.0,68.0,1.0,0.0,0.8696375487500486
1.0,69.0,1.0,0.0,0.8726463509683101
1.0,70.0,1.0,0.0,0.8756118595635668
1.0,71.0,1.0,0.0,0.8785353027863831
1.0,72.0,1.0,0.0,0.8814178573489018
1.0,73.0,1.0,0.0,0.8842606512685739
1.0,74.0,1.0,0.0,0.8870647665184216
1.0,75.0,1.0,0.0,0.8898312414994115
1.0,76.0,1.0,0.0,0.8925610733490837
1.0,77.0,1.0,0.0,0.8952552200992717
1.0,78.0,1.0,0.0,0.8979146026946071
1.0,79.0,1.0,0.0,0.9005401068824433
1.0,80.0,1.0,0.0,0.9031325849839088
1.0,81.0,1.0,0.0,0.9056928575549464
1.0,82.0,1.0,0.0,0.9082217149454408
1.0,83.0,1.0,0.0,0.9107199187638464
1.0,84.0,1.0,0.0,0.9131882032541084
1.0,85.0,1.0,0.0,0.9156272765911004
1.0,86.0,1.0,0.0,0.9180378221002996
1.0,87.0,1.0,0.0,0.9204204994069612
1.0,88.0,1.0,0.0,0.922775945519614
1.0,89.0,1.0,0.0,0.9251047758523424
1.0,90.0,1.0,0.0,0.9274075851899536
1.0,91.0,1.0,0.0,0.9296849485998138
1.0,92.0,1.0,0.0,0.931937422293859
1.0,93.0,1.0,0.0,0.9341655444440046
1.0,94.0,1.0,0.0,0.9363698359539482
1.0,95.0,1.0,0.0,0.9385508011901356
1.0,96.0,1.0,0.0,0.9407089286744508
1.0,97.0,1.0,0.0,0.9428446917410184
1.0,98.0,1.0,0.0,0.9449585491593157
1.0,99.0,1.0,0.0,0.9470509457256584
1.0,100.0,1.0,0.0,0.9491223128249608
1.0,101.0,1.0,0.0,0.9511730689645422
1.0,102.0,1.0,0.0,0.9532036202816422
1.0,103.0,1.0,0.0,0.955214361026174
1.0,104.0,1.0,0.0,0.9572056740201558
1.0,105.0,1.0,0.0,0.9591779310951604
1.0,106.0,1.0,0.0,0.9611314935090284
1.0,107.0,1.0,0.0,0.9630667123430208
1.0,108.0,1.0,0.0,0.9649839288804956
1.0,109.0,1.0,0.0,0.9668834749681324
1.0,110.0,1.0,0.0,0.9687656733606655
1.0,111.0,1.0,0.0,0.9706308380500152
1.0,112.0,1.0,0.0,0.9724792745796575
1.0,113.0,1.0,0.0,0.974311280345027
1.0,114.0,1.0,0.0,0.9761271448806774
1.0,115.0,1.0,0.0,0.9779271501349108
1.0,116.0,1.0,0.0,0.9797115707325104
1.0,117.0,1.0,0.0,0.9814806742262008
1.0,118.0,1.0,0.0,0.9832347213374059
1.0,119.0,1.0,0.0,0.9849739661868492
1.0,120.0,1.0,0.0,0.9866986565155028
1.0,121.0,1.0,0.0,0.9884090338963708
1.0,122.0,1.0,0.0,0.9901053339375552
1.0,123.0,1.0,0.0,0.9917877864770342
1.0,124.0,1.0,0.0,0.9934566157695536
1.0,125.0,1.0,0.0,0.9951120406660126
1.0,126.0,1.0,0.0,0.9967542747857024
1.0,127.0,1.0,0.0,0.9983835266817379
1.0,128.0,1.0,0.0,1.0
2.0,1.0,1.0,0.14285714285714285,0.0
2.0,2.0,1.0,0.14285714285714285,0.14285714285714285
2.0,3.0,1.0,0.14285714285714285,0.2264232143887366
2.0,4.0,1.0,0.14285714285714285,0.2857142857142857
2.0,5.0,1.0,0.14285714285714285,0.33170401355533746
2.0,6.0,1.0,0.14285714285714285,0.3692803572458794
2.0,7.0,1.0,0.14285714285714285,0.4010507031510863
2.0,8.0,1.0,0.14285714285714285,0.42857142857142855
2.0,9.0,1.0,0.14285714285714285,0.4528464287774732
2.0,10.0,1.0,0.14285714285714285,0.4745611564124804
2.0,11.0,1.0,0.14285714285714285,0.4942045169481854
2.0,12.0,1.0,0.14285714285714285,0.5121375001030224
2.0,13.0,1.0,0.14285714285714285,0.5286342454487275
2.0,14.0,1.0,0.14285714285714285,0.5439078460082291
2.0,15.0,1.0,0.14285714285714285,0.5581272279440741
2.0,16.0,1.0,0.14285714285714285,0.5714285714285714
2.0,17.0,1.0,0.14285714285714285,0.5839232630357628
2.0,18.0,1.0,0.14285714285714285,0.5957035716346161
2.0,19.0,1.0,0.14285714285714285,0.6068467876347979
2.0,20.0,1.0,0.14285714285714285,0.6174182992696232
2.0,21.0,1.0,0.14285714285714285,0.627473917539823
2.0,22.0,1.0,0.14285714285714285,0.6370616598053281
2.0,23.0,1.0,0.14285714285714285,0.6462231365795733
2.0,24.0,1.0,0.14285714285714285,0.6549946429601653
2.0,25.0,1.0,0.14285714285714285,0.6634080271106749
2.0,26.0,1.0,0.14285714285714285,0.6714913883058704
2.0,27.0,1.0,0.14285714285714285,0.6792696431662099
2.0,28.0,1.0,0.14285714285714285,0.6867649888653721
2.0,29.0,1.0,0.14285714285714285,0.6939972850182247
2.0,30.0,1.0,0.14285714285714285,0.7009843708012171
2.0,31.0,1.0,0.14285714285714285,0.707742330055268
2.0,32.0,1.0,0.14285714285714285,0.7142857142857143
2.0,33.0,1.0,0.14285714285714285,0.7206277313369219
2.0,34.0,1.0,0.14285714285714285,0.7267804058929057
2.0,35.0,1.0,0.14285714285714285,0.7327547167064238
2.0,36.0,1.0,0.14285714285714285,0.7385607144917589
2.0,37.0,1.0,0.14285714285714285,0.7442076236612786
2.0,38.0,1.0,0.14285714285714285,0.7497039304919407
2.0,39.0,1.0,0.14285714285714285,0.7550574598374641
2.0,40.0,1.0,0.14285714285714285,0.7602754421267661
2.0,41.0,1.0,0.14285714285714285,0.7653645720882977
2.0,42.0,1.0,0.14285714285714285,0.7703310603969659
2.0,43.0,1.0,0.14285714285714285,0.7751806792431568
2.0,44.0,1.0,0.14285714285714285,0.7799188026624709
2.0,45.0,1.0,0.14285714285714285,0.7845504423328107
2.0,46.0,1.0,0.14285714285714285,0.7890802794367161
2.0,47.0,1.0,0.14285714285714285,0.7935126930968054
2.0,48.0,1.0,0.14285714285714285,0.7978517858173081
2.0,49.0,1.0,0.14285714285714285,0.8021014063021726
2.0,50.0,1.0,0.14285714285714285,0.8062651699678177
2.0,51.0,1.0,0.14285714285714285,0.8103464774244994
2.0,52.0,1.0,0.14285714285714285,0.8143485311630132
2.0,53.0,1.0,0.14285714285714285,0.8182743506518857
2.0,54.0,1.0,0.14285714285714285,0.8221267860233528
2.0,55.0,1.0,0.14285714285714285,0.8259085305035229
2.0,56.0,1.0,0.14285714285714285,0.8296221317225151
2.0,57.0,1.0,0.14285714285714285,0.8332700020235346
2.0,58.0,1.0,0.14285714285714285,0.8368544278753675
2.0,59.0,1.0,0.14285714285714285,0.8403775784802631
2.0,60.0,1.0,0.14285714285714285,0.8438415136583598
2.0,61.0,1.0,0.14285714285714285,0.8472481910804124
2.0,62.0,1.0,0.14285714285714285,0.8505994729124108
2.0,63.0,1.0,0.14285714285714285,0.8538971319285595
2.0,64.0,1.0,0.14285714285714285,0.8571428571428571
2.0,65.0,1.0,0.14285714285714285,0.8603382590040649
2.0,66.0,1.0,0.14285714285714285,0.8634848741940647
2.0,67.0,1.0,0.14285714285714285,0.866584170065396
2.0,68.0,1.0,0.14285714285714285,0.8696375487500486
2.0,69.0,1.0,0.14285714285714285,0.8726463509683101
2.0,70.0,1.0,0.14285714285714285,0.8756118595635668
2.0,71.0,1.0,0.14285714285714285,0.8785353027863831
2.0,72.0,1.0,0.14285714285714285,0.8814178573489018
2.0,73.0,1.0,0.14285714285714285,0.8842606512685739
2.0,74.0,1.0,0.14285714285714285,0.8870647665184216
2.0,75.0,1.0,0.14285714285714285,0.8898312414994115
2.0,76.0,1.0,0.14285714285714285,0.8925610733490837
2.0,77.0,1.0,0.14285714285714285,0.8952552200992717
2.0,78.0,1.0,0.14285714285714285,0.8979146026946071
2.0,79.0,1.0,0.14285714285714285,0.9005401068824433
2.0,80.0,1.0,0.14285714285714285,0.9031325849839088
2.0,81.0,1.0,0.14285714285714285,0.9056928575549464
2.0,82.0,1.0,0.14285714285714285,0.9082217149454408
2.0,83.0,1.0,0.14285714285714285,0.9107199187638464
2.0,84.0,1.0,0.14285714285714285,0.9131882032541084
2.0,85.0,1.0,0.14285714285714285,0.9156272765911004
2.0,86.0,1.0,0.14285714285714285,0.9180378221002996
2.0,87.0,1.0,0.14285714285714285,0.9204204994069612
2.0,88.0,1.0,0.14285714285714285,0.922775945519614
2.0,89.0,1.0,0.14285714285714285,0.9251047758523424
2.0,90.0,1.0,0.14285714285714285,0.9274075851899536
2.0,91.0,1.0,0.14285714285714285,0.9296849485998138
2.0,92.0,1.0,0.14285714285714285,0.931937422293859
2.0,93.0,1.0,0.14285714285714285,0.9341655444440046
2.0,94.0,1.0,0.14285714285714285,0.9363698359539482
2.0,95.0,1.0,0.14285714285714285,0.9385508011901356
2.0,96.0,1.0,0.14285714285714285,0.9407089286744508
2.0,97.0,1.0,0.14285714285714285,0.9428446917410184
2.0,98.0,1.0,0.14285714285714285,0.9449585491593157
2.0,99.0,1.0,0.14285714285714285,0.9470509457256584
2.0,100.0,1.0,0.14285714285714285,0.9491223128249608
2.0,101.0,1.0,0.14285714285714285,0.9511730689645422
2.0,102.0,1.0,0.14285714285714285,0.9532036202816422
2.0,103.0,1.0,0.14285714285714285,0.955214361026174
2.0,104.0,1.0,0.14285714285714285,0.9572056740201558
2.0,105.0,1.0,0.14285714285714285,0.9591779310951604
2.0,106.0,1.0,0.14285714285714285,0.9611314935090284
2.0,107.0,1.0,0.14285714285714285,0.9630667123430208
2.0,108.0,1.0,0.14285714285714285,0.9649839288804956
2.0,109.0,1.0,0.14285714285714285,0.9668834749681324
2.0,110.0,1.0,0.14285714285714285,0.9687656733606655
2.0,111.0,1.0,0.14285714285714285,0.9706308380500152
2.0,112.0,1.0,0.14285714285714285,0.9724792745796575
2.0,113.0,1.0,0.14285714285714285,0.974311280345027
2.0,114.0,1.0,0.14285714285714285,0.9761271448806774
2.0,115.0,1.0,0.14285714285714285,0.9779271501349108
2.0,116.0,1.0,0.14285714285714285,0.9797115707325104
2.0,117.0,1.0,0.14285714285714285,0.9814806742262008
2.0,118.0,1.0,0.14285714285714285,0.9832347213374059
